,ENGLISH_TRANSLATION,SCORE,SENTIMENT_LABEL
186,valuetim valuelif sage master keht insan time कदेर् duty laziness nun,0,neutral
187,main bar muslin tune vive bad bsdkk pole abandoned ok terrorism lyrics हत्यकन्द् zu,-0.872,negative
188,secular got vote bharat muslim always li will remain har j.e.t. सिक्क्,0,neutral
189,congress media agenda media per pehle feku devotion compound choose nhi hartefeku devotion fe,0.7184,positive
190,delhi home public horse wound up friendship leg will eat circar ministries,0.4404,positive
191,real the pay loan whisper loan  make purchase by pp tri introduc f nun,-0.1027,negative
192,oh watch make miss hope oh miss everyday guy बत्सत्वेम्ब्लेय् singh really bts nun,0.1779,positive
193,come first man earlier ink shame inc. name moth pel nun,-0.4767,negative
194,need branch student digit india sake corrupt she which forc j me,0,neutral
195,media remind rule last years ghatna gradually cancer see jabbi opposition per neeti the bar,-0.6597,negative
196,parma to instead bak per accidental message the gift cum congrassi led,0.3818,positive
197,religion country half name bak band do do to you it&#39;s over shikho nun,0,neutral
198,khan m hear pass away pleasure work the good weiruji privileg weiruji amaz nun,0.765,positive
199,father main night सोन् pop aaj praise li barley c time सोन् time nun,0.5574,positive
200,parisian mohd coe sad nhi hi yours hi j nun,-0.4767,negative
201,know s late comment sweet say miss वन् really,0.34,positive
202,vote did employ month mp kamalnath गोवेर्न् mileg gyay hour some free further some hoag nun,0.5106,positive
203,krishna tax rashid allah tree,0,neutral
204,show people chance main entertain well to walk want dont c hey nhi kislyas more christ,0.6908,positive
205,team lathi bullet circar nhi will go nhi will go,0,neutral
206,let&#39;s go her improve j then uncl harvey jason the reason,0.4404,positive
207,pucca,0,neutral
208,touch life dream erad powerti sin nun,-0.3818,negative
209,au j cousin attitude dog bhonkt angel like,0.3612,positive
210,respect pm dish system gee hum edu c the monsters undefeated congratulations m to give,0.7906,positive
211,gulshan fed dog dish left last night go shallow gyay karobar let&#39;s go beyond laundry nun,0,neutral
212,great weekend ff pop claw nun,0.7845,positive
213,set elect commits inform seat chor pth and because kr hm want a,0.1027,positive
214,sir congratul marvel seem one ever bother vitori sev,0.1027,positive
215,make sure become bootlick exact way ask say allah masoam left amen nun,0.3182,positive
216,fail beech first his call जिस्न् notation me intersection fancy lt the gift nun,-0.1531,negative
217,stay strong away love alwaysstaywithlalisa nh ल् ê nh it is m á lallis,0.9313,positive
218,us their muslin jake hindu hindu jake muslin hello milk mist bnke the fire cost bnke both,-0.34,negative
219,isn organs organs lick lodo mn to do do do bhosdi the trees august nhi,0,neutral
220,miss beauty voice far amjdsbrishhe allah them registration buland,0.4939,positive
221,parliament elect he degaphir beta harekrishna coe street w will win if street give see nun,0.5859,positive
222,oath comparison app martyr family the bull li,0,neutral
223,happiest day make great content us thank you badhe brother motiv nun,0.8957,positive
224,loyal guy jan allah of you कुशियान् nseb firmai दुआओन् if to keep nun,0.4767,positive
225,correct good meadiagovt away boycott quaternion bat sunt done want magar,0.2263,positive
226,hindu sweet the murderer done accidental per ashraf death some,-0.7783,negative
227,ever cloud sadi li why decision love karti baat,0.6369,positive
228,main in चुत् behen lode dirty jor मिनुत् li mil take you lady in,-0.4404,negative
229,fr pm contrat log ask of you the bar to become hum country the world banay उपेर the world,0,neutral
230,early wait epic advrtsmnt jayatna seri chance chance,0.4588,positive
231,love one person okkkkk favourit,0.6369,positive
232,sir allahabad me ald sirthu,0,neutral
233,rubik dirty gall inside matri wild bjp statement due sali हरम्खोर् your fourteen,-0.4404,negative
234,shankar vote sun hello vais jatiyo but कयस्थ्,0,neutral
235,genie life gujri genie baki head t लन्त् uncountable,0,neutral
236,like move friend ome barbar jhome nun,0.6908,positive
237,th the reason barn me jam say poli c that&#39;s right duty,0,neutral
238,today day may give great health work muslin murshid allah ummm allah,0.6249,positive
239,listen fuck final of org love ill text venchod love the baby im hippie nun,0.4767,positive
240,sir bad muslin safe may video shark आन् nhi the middle abroad income,-0.1531,negative
241,think everyone congress think self bjp poor per per nun,-0.4767,negative
242,life day but bc mae ac up day ace ha js me wait nun,0.4767,positive
243,hume gift mile no forget it myself no his allah his forget it wali the corridor chor i peech,0.1195,positive
244,twitter facebook your marzi chhor that&#39;s it august च्होर्न् think nhi,0,neutral
245,swami karma fals through milt anxiety do ac karma what th,-0.1779,negative
246,brow team possible aghar friends age akmal nun,0.4767,positive
247,bear krishna too bear keep calm start good luck you her the place timber love nun,0.9081,positive
248,am fine hey strong hey hippie uncl hum bb pit come on some bimar rehat uncl nun,0.6249,positive
249,look great stay way plood wood plywoodfurnitur woodwork jatyuplyvodovisv per one,0.6249,positive
250,log tears log flat pakistam money theft care harappa care baher mehl khareday,0.6705,positive
251,see profit custom live the reason vat ल्गी position choro money chur nickel the way ghatiya,0.4404,positive
252,vote c onstru sabn to you job anxiety,-0.1779,negative
253,bomb tree broad day light ask command us huh time,-0.4939,negative
254,one last report trip rural pick right  fun strawberry mendozamarth nun,0.5106,positive
255,censor report world class word like move year best perform miles excel bharat listen and nun,0.7717,positive
256,say hear guam buddha,0,neutral
257,sarfraz hero parisian bar to eat hum right now what लेय् do dude nun,0.5574,positive
258,love much mind seem distant week back aee chotu escape end,0.7096,positive
259,super hit who ever want bark th move or club deade love give nun,0.8555,positive
260,dear thank best part life thank away know love hug nakko,0.959,positive
261,meet love life dear nun,0.7783,positive
262,pain learn yako die live api lr lr dog left we the enemy you chat api,-0.8934,negative
263,home pm country a little minist bant,0,neutral
264,elect you lat खयेग् day आन् wall improve gand,0.4404,positive
265,now pus request nice couple both good लगत् both marriage take the,0.6908,positive
266,welfarebydssvolunt good more dear dhan dhan satguru asra pop beti work start nun,0.6997,positive
267,righting becher soul such li ha angry jays ha frustrat nun,0.128,positive
268,bc like cancer chodh give nun,-0.4404,negative
269,on sick aaj उत्थेय् signatur do aaj white kurt pyjam to wear,-0.5106,negative
270,english proud brow good thori kachi per really surferzham,0.7184,positive
271,warrior guy bangesh umar,0,neutral
272,name,0,neutral
273,isn better though she ram not bay area india indic वन्द् मतरम् jai emot,0.4404,positive
274,say best point yes घ्र् new sb peh esc nun,0.7845,positive
275,bar budget lonavla direct set arey bhav work गोरेगओन् film history look nun,0,neutral
276,well done pp parisian main pp karay chair be patient absolutely theaq b हमिअन् anker jin,0.2732,positive
277,miss you know see later ok miss cry yes nun,-0.1027,negative
278,sir good morning narendramodi the young oops hope so hummer country bright,0.8387,positive
279,paul precise good thank you vd c ongr hardworking what per,0.6597,positive
280,rope soon gye ball gye and jor walk journalist कप्द् get down some,0,neutral
281,true load disappoint country turn yaar such च्,0.0258,positive
282,special appeal defeat give any like etc bjp hopeschem lick cum country nun,0.296,positive
283,disagree money ritual causes hmb tiy bie abdullah tund b z nun,-0.3818,negative
284,demand pay man casey care रहय् yes such difficult sey manay larkay the nose lanyi nun,0.3612,positive
285,say night better month may forgive fulfil allah al qadar thousand allah family,0.6124,positive
286,ink log re mom of you like jawab the gift select in humes orto burqa,0.6597,positive
287,birthday remark human earth love hippie end हप्प्य्बिर्थ्दय्जेन्निफ़ेर्विन्गेत् nun,0.6369,positive
288,sir rajasthan recruit process band head cancer kau berozgro trouble,-0.7964,negative
289,potman did sb crow humre country young men unemployed krake bjp work give s,0,neutral
290,convince ung uth them gall suffering peech circar sin august,-0.6908,negative
291,sharp back bc hum wali street sekh li nun,0,neutral
292,tax hume to you shameless life choose w so much sad dizzy chun delhi,-0.7871,negative
293,dead much अपुन् name come gye newspaper hippie oops nun,-0.6486,negative
294,wish best gee,0.7845,positive
295,love guy away see without make think cut go date like boom yeah villi nun,0.8662,positive
296,matas to know burden har w c pressur horn c,-0.4404,negative
297,sigh life rapid newborn sidhu such good j your c omentary tariff pur country,0.4588,positive
298,sharp rolf cha if nun,0,neutral
299,deepika phew question affectionate,0.4404,positive
300,mr feel w nun,0,neutral
301,join us first final friday you class book use link love see make a living,0.7506,positive
302,gandhi paul congress manek rajneeti survive play free bhart on the side emery lady nun,0.6908,positive
303,jan did ali out जवन् weight स्य् armi charity delhi krt cube of course see,0.4215,positive
304,he love to you buroy you to know wheez hands forward नम्जोओनी nun,0.6369,positive
305,public ind foolish बनवोग् janta verso religion karam name foolish बनत् mish,-0.4939,negative
306,sun main vote main भद्व् was give true,0.4215,positive
307,muslin hindu public safe तुस्तिकरद् विरोद्भ्रश्तचर् foolish understanding jhuthbharat the heart,0.7184,positive
308,face news co area action audit yf such big mistake free शह्रुख्खन् प्स्न्द् nhi krgi,0.2263,positive
309,applogo बेतेत् c तेत् the trees fun bunker,0.5106,positive
310,birthday anti channel jay abandoned hippie abandoned god prathna khudk open pur on,-0.7351,negative
311,circar cos nhi fe,0,neutral
312,mubarak j show bup wayne love bup barh cast murray a kamil निग्रन् a,0.6369,positive
313,club sale india near dog avlad father you j fire,-0.34,negative
314,mohabbat year to see fortnight me fortnight command ol,0,neutral
315,long ratiya vais gooseberry asli the reason association so mutual the enemy,-0.5809,negative
316,old age cross lagut kr because yes nun,0.4019,positive
317,j cast त्क् ace lick rheng bharat the fire nhi emery free years पिच्ह्वद् दाल् take the,0.2263,positive
318,killer know whether s correct news wrong final listen up न्त् pubg tou of course sai cuffie first chor on nun,-0.8126,negative
319,thank kind wish money lallu nun,0.8225,positive
320,owaisi companion mil issu currently to do try do आच्र् insan लग्,0,neutral
321,beast problem differ who perform tip पेरोस्न् to play to play front w c nhi kr pet,0.2732,positive
322,pick weekend smith chris fishgold berg anthony volcanic oyazdmir jimmy manuv damir hadzow sung bin,0,neutral
323,congress committed meat member post congress aksabdrak led the new mileg the fire badt javo nun,-0.0772,negative
324,chawalon marya tri only white c alibri happiness hoskti,0.5574,positive
325,nation pm term sir a lot a lot more ja nun,0,neutral
326,music life thank salmon post today चोते master ali instagram story,0.3612,positive
327,amethi media cm pm bjp pill die bjp led dog esco ace fie jais mer hole,-0.5994,negative
328,worry armada time main allah dont blessings allah qubull karthi be blessings karti are appki nun,-0.3071,negative
329,nice kill sherlock hard boss contrat stay very many nun,-0.5106,negative
330,sharp sharp past female you girl ace c op karti ladi grace giving,0.6369,positive
331,philip marie mariochalatetorr ricardo leaves oh it is न्देज़् l. chepe अर्दिन् nun,0,neutral
332,charge biscuit org give two as off select सथ् giving,0.34,positive
333,still far better mrs got r connect number share aconomie,0.6597,positive
334,help congress traitor people strange fertilizers home duty padoshi abdull mehboob born nun,0.2263,positive
335,maker oh ktn love लग् नज़्र् new to die,0.0772,positive
336,ted talk the serious guy leave fuck along more chot nun,-0.6124,negative
337,eye न्त्फ़् delhi asit the bar जितोग् nun,0,neutral
338,amen great job thank beaten good,0.7717,positive
339,view vote bar youtub remember august win will win bharat,0.8225,positive
340,brook store usual line main thing sell substitute,0,neutral
341,dear india india nice person appreci true avari body,0.802,positive
342,seat ink favorite understand take the door what declaration,0.4588,positive
343,receive time power women award th may award colleague c bad and c e dead c ear nun,-0.2023,negative
344,anti hindu vote द्म्क् as per duty nun,-0.3182,negative
345,goal achieve karl ism gods int bharat nay par will live zikr is true mohatj nun,0.4215,positive
346,birthday sister insan insan insan hippie insan pop nun,0,neutral
347,good pleas tell fan inured hoo im nun,0.6369,positive
348,nice congratul m country keep the fire nun,0.1027,positive
349,like egg hate banana nun,-0.296,negative
350,media hindu muslin etc अत्तेन्त् the dock sal went gobar the floor pressing care care country well what,0.8176,positive
351,total understand usual pretty done well know son,0.6771,positive
352,congress spokesperson cricket away sp arrah polit nun,0,neutral
353,hume probably sher zinc delhi ac variety quality anecdote complaint bed,-0.296,negative
354,love people away remember away f c ontinu inspi,0.6369,positive
355,wait c himself shard चित्फ़ुन्द् declaration the chief dooro daket bolti himself,0,neutral
356,delhi meet muslims quaternion you muslims issues उथत धुरव् abandoned mar ग्य,-0.4588,negative
357,underestim power ballpoint pen matter street time great level cha well ह्त्त् nun,0.743,positive
358,c boot you chatea mad sal teinu b fl aukat च् kr aukat,-0.4939,negative
359,ram sake west bengal dollar years temple aaj pish positions,0,neutral
360,lawyer tutor away actual ask refund suction fee them nun,0,neutral
361,mitali हरम्खोर् to load chah fuss,0,neutral
362,god cricket bowler hello of you subs ayad conn father duty hoo fun inside sachinopensgain nun,0.6597,positive
363,wait happyacadem workshop still time resist friday hours c a न्त् एअन्त्,0,neutral
364,mt up twistooo rubber like health pchn anus nun,0.3612,positive
365,aye threat j.e.t. जसह्न् मनन् allah himself unonhn modiji more,-0.5267,negative
366,tailor suit size size see in अंख् abbu the ay conj abbu given,0,neutral
367,sir light pm agar west delhi sync tilak nun,0,neutral
368,thank choir hope remove well best wish,0.9246,positive
369,ind,0,neutral
370,harm cut flow alv horse pa some ग्द्प् gah will salari on,-0.6808,negative
371,india mr winter narendramodi recruitment on the side more,0,neutral
372,seat bhaiyya bjp j.e.t. gone saying to kill bess,-0.6908,negative
373,title burnol giant cow win w you want work bjp gobar,0.6249,positive
374,tax congress jaleel bjp तल्व् चतोग् no. will appear will be dal,0,neutral
375,jihadi like support ahmad me will teach devotion,0.802,positive
376,shine glow arushi bnne कमिन,0,neutral
377,thank come live miss r pray leah her namaz pray क्रति ह्न् name le aas nun,0.8402,positive
378,lover woke enjoy lo&#39;ol याह्न् question mtlub roman c to do man nun,0.7906,positive
379,woke beauty feature thank,0.743,positive
380,good form see got far unfortun time s dekoyo nun,0.4404,positive
381,sharp but ten level congress vote and धन्द् sakti badhe august taking inside,0,neutral
382,isn congress theft baat bjp declaration what kal congrassi and,0,neutral
383,believe exit new car want go fun tell patch c grain av nun,0.5574,positive
384,age jay plain us pth सथ् you sadi,0,neutral
385,main side disagree devotees lagut li dangerous baat,-0.6369,negative
386,long rock roll  steal love  matter king leon und won slow down give,0.7003,positive
387,lover core core core justfsbko the memory heart apn c cry,0.7096,positive
388,pus look ml bjp mayore bjp mp bjp attention giving nun,0.34,positive
389,लबोन् keh pay them currently delhi smje silence cheez,-0.1027,negative
390,case तरेएक् give years happy will remain people happy will remain let&#39;s go ha people happy,0.926,positive
391,correct honor true patriot hinduism fighter woman madam absolute religion sdhwi namo namo jai,0.765,positive
392,love r one side  lövez सुन्क्र् sad,0.2732,positive
393,harm muslin parisian bangladesh hindu half per country batvar the mill c,-0.5423,negative
394,case solution public month case jazz garnish hello years पेन्द् fun inside inco money miljay nun,0.6808,positive
395,guy gave us forget nation man treasury protect kodva thandiv intern nun,0.3612,positive
