,Unnamed: 0,TWEET,SCORE,SENTIMENT_LABEL,CALC_SCORE,CALC_SENTIMENT_LABEL
27,27,rao hindi tumhari bass seekh paog dart kahin hindi mark,0,negative,0.0,neutral
28,28,hamyat tu khota khor corrupt ganj kert kia ukhar lia unhon lanat te patwari nan,0,negative,-3.0,negative
29,29,io sale today nxttakeoverxxv entranc mask qualiti nice even back side come soon nan,2,positive,3.0,positive
30,30,ch1 pakeeza languag istema tu nooni bhayoon poochhay youthi aewen e critic kart sahb nan,1,neutral,-2.0,negative
31,31,gulwish news defend kern koshesh ker rhe,1,neutral,0.0,neutral
32,32,murali noon care boycott world cup till nesamani recov attack krishnamurthi arrest nan,1,neutral,-0.75,negative
33,33,ahmad884 1971 lulli khadi baten karalo badi badi,1,neutral,0.0,neutral
34,34,dho ashkenadamat gunahon meray tar daman baar paak daman momin khan momin nan,1,neutral,0.0,neutral
35,35,beta nafrat jais jahil illiter failat pata nhi kon si phd chal rhi,0,negative,-2.0,negative
36,36,one favorit anoth one begin movi chhotichhoti chitrayi yaadein,2,positive,0.0,neutral
37,37,mansoor ali nam taray ander jalan btaa sari duniya main oil price,0,negative,-3.0,negative
38,38,jai bheem great news bahujan kumbkarnaa becoz happen kick st,1,neutral,3.0,positive
39,39,love one person gave fuck dead nan,1,neutral,-1.3333333333333333,negative
40,40,zaini en zalalat daastano tareekh aoraaq bhare pare behna ais samaj,2,positive,0.0,neutral
41,41,color india sari sochti pakistan atankistan nhi kuch lagti thik pakistani bhuta achi nan,2,positive,0.5,positive
42,42,rohit big fan want meet nan,2,positive,1.6666666666666667,positive
43,43,lanat bhejta hn tun tmare harami leader niazi nan,0,negative,-4.0,negative
44,44,dont slay inta serious leneka segment segment pure fun 80 nonsens cast make sens nan,0,negative,4.0,positive
45,45,kutta bhonkn lga bhaiyo firs sale gale patt,0,negative,0.0,neutral
46,46,world cup mard khusr gae larna twitter per sath talian bajana jaant nan,0,negative,2.0,positive
47,47,bhaijaan pleas bahot bahot bada fan hoon pleas jindagi bachalijiy pleas,1,neutral,3.0,positive
48,48,scene sahil propos vedika dialogu magic inde coz nt heard,2,positive,0.0,neutral
49,49,bhauji tohra haal ba tu kahe ludhak gailu eka matlab akhilesh bha,1,neutral,0.0,neutral
50,50,scratch kfc auqaat today defeat pesay doob gaye sarfi chakaar main andaay,0,negative,0.0,neutral
51,51,dsscampaignagainstdrugabus papa aj hd entranc exam rehmt acha gy nan,2,positive,2.0,positive
52,52,muslim e qadar mubarak,2,positive,0.0,neutral
53,53,rj bar product khrab nhi logo choic khrab product,1,neutral,-2.6666666666666665,negative
54,54,aaiy intezaar damn khoobsurat ladka mashallah ca nt wait new season,2,positive,-0.5,negative
55,55,zeeshan09 love bhaijan father son bharat iambharat best pic entir promot mashallah,2,positive,3.0,positive
56,56,saheb jat talbani jess harqat tahe masum logo marta tab ammi mar jate,0,negative,-4.0,negative
57,57,mazhab naam elect jeetna bada kaarnama messag,0,negative,3.0,positive
58,58,dhol serious one best post seen bravo nd respect nan,2,positive,3.0,positive
59,59,may allah bless us strong imaan taqwa pieti pure heart good manner allah give eye nan,2,positive,2.3333333333333335,positive
60,60,chiller man give big jhtka nsecoloscam made laugh stock,1,neutral,1.0,positive
61,61,thing ppl ador want transact give take r su nan,1,neutral,1.0,positive
62,62,desh logo thug chala sanjeev kapoor world cup dekn nan,0,negative,0.0,neutral
63,63,btaega pucho jiyn mla usm gina hindu mla kaunsa muslim awaadi gaao,1,neutral,0.0,neutral
64,64,haaa lie think buy new pair bc put shit charger minut nan,1,neutral,-4.0,negative
65,65,yeah glass wali admi kon appki har pic main nan,1,neutral,-1.0,negative
66,66,mumta bano mhatma ghandhi smadhi nhi jayegi vhan ghandhi akhi nan,1,neutral,-2.0,negative
67,67,india aaan muslim sa,1,neutral,0.0,neutral
68,68,boy age hy tmhri girl 17 boy mine love girl m taken boy tmhri umer,1,neutral,3.0,positive
69,69,ali 9 btw jhootay maseeha maseeha man leni sy qafir jata,0,negative,0.0,neutral
70,70,mc sala sale lo jyada ghamand kuch din ruk sale ghamand dur jayega,1,neutral,-4.0,negative
71,71,pathan 14 ikk sarkar job ni de rhi upper india kaam chahat,1,neutral,0.0,neutral
72,72,han chara ghotal laloo kitney gavahon maut ghat utar nan,0,negative,0.0,neutral
73,73,good morn papa plz bless sewa sumiran parmarth bal bakhshna dhan dhan sa,2,positive,2.5,positive
74,74,qau pakistani girl photo without pakistan karz ada karo pakistani girl heera mandi bata karz,1,neutral,0.0,neutral
75,75,boi kdo unpract cool sword seen nan,1,neutral,1.0,positive
76,76,journal bare bt jbhi cripption certif dia nan,2,positive,0.0,neutral
77,77,sir prashant dhawan kohinoor studi iq best teacher current aff,2,positive,3.0,positive
78,78,last check mp congress sarkar law order state subject nan,1,neutral,0.0,neutral
79,79,yeah roza kharaab karay notic hay lol allah famili,1,neutral,0.3333333333333333,positive
80,80,desh gaddaro liy 5 saal pain hoge kyoki mota home minist india,1,neutral,-2.0,negative
81,81,muskur bhut sharmat bhut dil aaplogon eid bolaun,2,positive,0.0,neutral
82,82,nice joke tmhare ghaddaron danda janay waala landay istim maal pakra ussay,1,neutral,2.5,positive
83,83,antar atma bech beijjat kark bhagaya jata tab hilega lekin,2,positive,0.0,neutral
84,84,khan sahab apko vote taki pm alhamdulillah bi pm magar khan sahab gabraht,1,neutral,0.0,neutral
85,85,sir c 22042019 rs1180 deduct kekin branch offic kahta mai janta,1,neutral,0.0,neutral
86,86,amrann even nice second smh salaam love nan,1,neutral,3.0,positive
87,87,badhai amitshah asha kart hama,1,neutral,2.5,positive
88,88,would bring great joy hear rendit des ree got ta sayin xoxo nan,1,neutral,3.0,positive
89,89,khayal nazron document nehein guzra apk papa bahir janey keley mushar,1,neutral,0.0,neutral
90,90,one one jane virgin narrat knoow straight telenovela right nan,1,neutral,1.0,positive
91,91,plz bhagwan kre bharat acchi movi qki dedepyard,1,neutral,3.0,positive
92,92,wish bro happi birthday mani hit way togeth thankyou give music nan,2,positive,1.0,positive
93,93,aik gawahi mannat pagal saabit kerdia watch cheekh tonight 1000 pm arydigit,1,neutral,-3.0,negative
94,94,listen first jojo siwa song fan lol nan,1,neutral,3.0,positive
95,95,sara masla band wajh yehi fasad jar team nhe chalan ati palyer men hasd nan,1,neutral,0.0,neutral
96,96,sk chetan adarsh abe chutiy crimin ghatiya public stunt nhi kr unnec,0,negative,-3.0,negative
97,97,613 kung hnd pa checheck bat dm mukha ni jungkooki hnd maalala ikaw hahaha nan,1,neutral,3.0,positive
98,98,babi amaz job today hope feel good wish would hotel room wate yo,2,positive,2.0,positive
99,99,dil khush krni ghalib khyal acha myth,1,neutral,1.3333333333333333,positive
100,100,allah chahe izaat de r chahey zilat dt dua allah nawaz shareef us khandan r,1,neutral,2.5,positive
101,101,ngk good one kudo hero offl nan,2,positive,2.5,positive
102,102,sahi hoga sayad tabhi sirf appki channel dikh warna kuch bikav media,1,neutral,0.0,neutral
103,103,ez1403 ja pakistani pig dukkar kutta suvar mix aulad nan,0,negative,0.0,neutral
104,104,ais barish dosti a66i maaraz khud gar mitti ku6 khyal intzar har karega,1,neutral,0.0,neutral
105,105,fuck mean neech band kark rakhna jyada kholn jaroorat hani,0,negative,-3.5,negative
106,106,tu ak ayena tu dikhaya gya dagh chahru ku bura laga samna sa hat jay love pak armi,1,neutral,0.0,neutral
107,107,happi birthday pray baba vishwanath good health bright futur,1,neutral,1.6666666666666667,positive
108,108,good morn pita thank new day pls bless sewa sumrin parmarth bakso,1,neutral,2.3333333333333335,positive
109,109,offici superbbb voic arjun reali mean much salut yuh,2,positive,0.0,neutral
110,110,absolut right histori independ india inclus secular talk nev,1,neutral,0.0,neutral
111,111,thicccccccc xd confirm dare m one wit hahaha nan,2,positive,3.0,positive
112,112,congrat sir lucknow shaan bada di aapn veerta shaurya missal pesh kariyega jai hind nan,1,neutral,3.0,positive
113,113,cow mutr peek war guy st,1,neutral,-2.0,negative
114,114,nan,1,neutral,0.0,neutral
115,115,jitn asar vipaksh padosiyo bokhla gay sare sare akela,2,positive,0.0,neutral
116,116,bholi bhayaa ufffff dil jeet love imran mind blow act alla,2,positive,3.0,positive
117,117,r4i pori dunya 2019 main 1971 main growup bhaija sath khud aa jana nan,1,neutral,2.0,positive
118,118,aat half centuri kr di thnku itn like liy,2,positive,2.0,positive
119,119,jansankhya atikraman desh sabs bada samasya beat plastic pollut jai hind nan,1,neutral,0.0,neutral
120,120,obc bhikhari bhenchod bheemt obc naam account bnakar maa chuda rah,0,negative,-5.0,negative
121,121,fizakhan pakistani girl photo without pakistan karz ada karo pakistani girl heera mandi bata,1,neutral,0.0,neutral
122,122,pti janab thank veri much short break place may allah protect famili,2,positive,1.5,positive
123,123,org chalo bc inhi c,1,neutral,0.0,neutral
124,124,congratul akash 5 saal contract mil keepitup note sorri,2,positive,0.0,neutral
125,125,husain haqqani time nikal mar q jatay dharti py bojh gaddar besharam nan,0,negative,-3.5,negative
126,126,noth like fresh hit pepsi day like today,2,positive,1.6666666666666667,positive
127,127,pehl tu photo dp rak bark kutt chal bhag yaha bandhar kahika nan,0,negative,0.0,neutral
128,128,sir need bless 9 wed anniversari wife sonia pranam ashirwad,2,positive,2.0,positive
129,129,cnbc aka sir cnbc pahel bol,1,neutral,0.0,neutral
130,130,nxt five year main india chang kyoki sarkar bht bda bdlav krne wali main ni hmare sir kehna nan,2,positive,0.0,neutral
131,131,uff act bholey kamaal krdya aisa actor nai abtk charactr saat,2,positive,0.0,neutral
132,132,raand congress v randwa rjd buri haara vote denewal sadhuwad nan,1,neutral,0.0,neutral
133,133,dvn kalank theatr zafar charact love play epic love stori spoiler pleas,2,positive,3.0,positive
134,134,badhai jais logo karan majboori mili isi,2,positive,3.0,positive
135,135,sasti ghatya nashi suwar samjhti trah bakwa humein sasti public mil jaegi nan,0,negative,0.0,neutral
136,136,proud part brilliant commerci releas 1996 wc time great product team includ nan,2,positive,3.0,positive
137,137,haha overr bolt chuuuu pehl pata bc ata pata chale aat,0,negative,3.0,positive
138,138,pogo launch new show kalarikid love enthusiasm littl one saw chhotabheem danc,2,positive,3.0,positive
139,139,r pakistani ais 1992 rote rhte time england 74 allout baar wohi umme nan,2,positive,0.0,neutral
140,140,want see loksabha ok kanhaiya vichaar badleng desh badlega vidhyarthi,2,positive,1.0,positive
141,141,wow red plain sare pahen cute lagegi red plain sare sleeveless blous look awasom nan,1,neutral,3.0,positive
142,142,chaa ihav cheap ak cuz ak fav weapon wan battl win give,2,positive,4.0,positive
143,143,day day slogan proven true afghani bhagao mulk bachao nan,0,negative,0.0,neutral
144,144,elect liy badha btaya accpt bar elect commiss media bewakoof bnaya janta sath nan,0,negative,-1.0,negative
145,145,bemaar bhikhari kutta die dub stupid movi hindi wonder peopl tn,1,neutral,-2.5,negative
146,146,abp news 5 saal mon bhara congress kost sawal kart tweet duwara mazaak uran aar,0,negative,0.0,neutral
147,147,evm hack bahana nhi chla pay fir nik slip le aay fir gyi bye bye evmscand evm nan,1,neutral,-1.5,negative
148,148,dhan dhan satguru aasra papa good morn pita pledgeagainstcorrupt nan,2,positive,3.0,positive
149,149,manmohan singh consid parti presid post chuppi hazaar baton behtar badhiya udaharan nan,1,neutral,3.0,positive
150,150,one india sabka sabka vika sabka visva,2,positive,0.0,neutral
151,151,ind prothom kolkata campaigncal media sangbad biswa bangla etc eisob chotokhato channel gulo dekho sudhu jai sree ram cholch nan,1,neutral,0.0,neutral
152,152,rohatgi maa baap bohat badhiya sikhaya certif batna sabko kiska chamcha,0,negative,3.0,positive
153,153,miss craze use bas kuch galat bold old memori,1,neutral,-1.0,negative
154,154,pm mumtaz bano hindu dhamki de bengal nai pure desh hindu khoon garam chuka,2,positive,-3.0,negative
155,155,love much absolut noth insecur bc uniqu way ok,2,positive,3.0,positive
156,156,beti apko beshak baap yaad ati hoo gi allah apko hosla dy certain baap,2,positive,2.0,positive
157,157,thank support thank thank strongwitheliza samanthajayz angelmartin00 galiya,2,positive,2.0,positive
158,158,rathe han gaand keed cow meat kliy pehl bnde convict jb ban maa khilan nan,0,negative,-2.0,negative
159,159,proud moment ganjam 83 student odisha aadarsh vidyalaya ganjam score 90,2,positive,2.0,positive
160,160,pakvwi 92 wi 10 wicket jeeta ajj 7 wicket jeet gya world cup wali chawl,2,positive,3.0,positive
161,161,engr sir merey lye khoshi maqam hoga agr muji repli love sir,1,neutral,3.0,positive
162,162,love 3000 said raat 5000 lungi repli newgfkitalsshm nan,2,positive,3.0,positive
163,163,oopr btaya surgeri ni nan,1,neutral,0.0,neutral
164,164,veri nice tamanna tamanna nice like nan,2,positive,2.6666666666666665,positive
165,165,apko deputi cm minist chief kb bnaya ja rhaa r wait nan,2,positive,0.0,neutral
166,166,vbk78 pichwada bc jb jeet jali padi tabs pichwaad jagah muh hag nan,2,positive,3.0,positive
167,167,shahid bahi wahab riaz bowl experi sirf wide ball nan,0,negative,0.0,neutral
168,168,nikal dia world cup 2011 sayad banda call aya bolta india england australia ni ayga semifin nan,0,negative,0.0,neutral
169,169,pledgeagainstcorrupt good afternoon guru bless us give us power sewa nan,2,positive,2.5,positive
170,170,nice see glowup peopl mayhem congrat guy wohooo bbye tire year nan,2,positive,3.0,positive
171,171,jitni media bjp liy prachar utna khud bjp bjp liy surgic strike,2,positive,-1.0,negative
172,172,siasat rawadari samajhta roza rahta iftari sam nan,2,positive,0.0,neutral
173,173,patrag pahel gahr kanon lago kr kiyo faim kabo,1,neutral,0.0,neutral
174,174,india arjun jai punrasar baba jai bikan rajasthan,1,neutral,0.0,neutral
175,175,doc saab badhiya video banaya andher much better nan,1,neutral,2.5,positive
176,176,sari shairi tassali dilasay pay munhasir warna shairi karay agar pas kuch nan,2,positive,-1.0,negative
177,177,om gandhi isliy rastrapita mant ahinsa vadi aja,2,positive,0.0,neutral
178,178,wrong love soti 2 naa nan,2,positive,0.5,positive
179,179,samaj mai aaraha halat mai sudhaar karyawahi ja road per,2,positive,0.0,neutral
180,180,usko kejriw khud reject educ minist kejriw khud raj,0,negative,-1.0,negative
181,181,chanda make gentl nice relat someon life sahar zarort parti nan,1,neutral,3.0,positive
182,182,rahiy sex cool nikah ose phele kise hath laga haq nai hume nan,2,positive,1.0,positive
183,183,sub bakwa harkaton baz nhi ayen ge fault jawaz kr light band ra,0,negative,-2.0,negative
184,184,x cm shila dixet karn feku annaji dhokha de nan,1,neutral,0.0,neutral
185,185,lekin itn kharab result kuta bauna harami handsom suvar singh etc gussa,0,negative,-3.3333333333333335,negative
186,186,valuetim valuelif pujya guru keht insan samya kader kart alasya nan,1,neutral,0.0,neutral
187,187,bsdkk dhruv tyagi bare main bar muslim aatankwad bola tune vivek hatyakand bad zu,0,negative,-3.0,negative
188,188,bharat musalman hamesha secular govt liy vote rahega haar jeet 1 sikk,2,positive,3.0,positive
189,189,congress parti pehl feku bhakt media agenda samaj chunav nhi hartefeku bhakt media fe,0,negative,-2.0,negative
190,190,ghoda ghaan dosti lega khayega delhi sarkaar home ministri public,0,negative,3.0,positive
191,191,real tho tri pay loan introduc whopper loan make purchas bk app cha nan,1,neutral,-1.0,negative
192,192,ph watch btsatwembley make miss sighhh realli hope bts ph miss everyday guy nan,2,positive,-0.6666666666666666,negative
193,193,come first man earlier incid ink naam roti pel shame nan,0,negative,-2.0,negative
194,194,need branch student jisas digir india forc ja sake corrupt mai shr,2,positive,0.0,neutral
195,195,pichla 5 saal media ghatna kramank rewind kark dekhiy jabbi vipaksh rule parti neeti baar,2,positive,0.0,neutral
196,196,bakwa karma tv per galat sandesh dena kam instead congressi neta,0,negative,-3.0,negative
197,197,desh aagh religion naam bakwa baand karo tumhar bhaiyon shikhao nan,2,positive,0.0,neutral
198,198,khan m sad hear veeruji pass away pleasur privileg work veeruji amaz nan,2,positive,-2.0,negative
199,199,father son papa aaj main night studi liy jau ga baje son 10 baje nan,1,neutral,0.0,neutral
200,200,mohad koe dukh nhi hay tumko hay pakistan ja nan,1,neutral,-2.5,negative
201,201,know late comment tweet wan say realli miss,1,neutral,-2.0,negative
202,202,mp kamalnath govern vote diy employ milega 6 month gye ghanta kuch ni aagey kuch hoga nan,0,negative,0.0,neutral
203,203,rashid krishna tab allah peda,0,negative,0.0,neutral
204,204,show acha chalna chahiy peopl dont care chanc nhi main kisliy entertain jyada krt,2,positive,0.6666666666666666,positive
205,205,team lathi goli sarkar nhi chalegi nhi chalegi,0,negative,-2.0,negative
206,206,chal har sudhar ja fir uncl harwayega jeson wajah,2,positive,-3.0,negative
207,207,777 pak,1,neutral,0.0,neutral
208,208,sapna erad untouch poverti sin life nan,2,positive,0.0,neutral
209,209,abu kute bhonkta jb farishta cousin attitud jese,0,negative,0.0,neutral
210,210,respect pm jiii hamar odisha educ system daityo aparajita sadangi mam dene,1,neutral,0.0,neutral
211,211,uth gye gulshan karobar chal pare fed dog dish left last night laundri go nan,0,negative,0.0,neutral
212,212,ff great weekend popat panju nan,2,positive,3.0,positive
213,213,chor pta evm set chuki elect commiss inform kr hme 300 seat chahiy e,0,negative,0.0,neutral
214,214,sir congratul marvel victori seem one ever bother sev,0,negative,0.5,positive
215,215,make sure becom bootlick exact way allah apk say masoom bachay ameen nan,0,negative,0.0,neutral
216,216,pahl usko bulao jisn notebandi fail mujh beech chaurah phansi latka dena nan,1,neutral,-2.0,negative
217,217,nh l nh em stay strong lalisa alway love alwaysstaywithlalisa,2,positive,2.5,positive
218,218,hamsab milkar dhundh us teesr muslim jake hindu bnke aag lagata hindu jake muslim bnke dono,2,positive,0.0,neutral
219,219,chutiy lodo mna kisn orgasm karn karo bhosdi walo agar orgasm nhi,0,negative,-3.0,negative
220,220,miss beauti voic amjadsabrishahe allah un darjaat buland far,1,neutral,0.0,neutral
221,221,harekrishna 2024 parliament elect hg koe gali degaphir v jitega beta jara gali de dekh nan,2,positive,0.0,neutral
222,222,appn shahid famili bulaya oath liy comparison,0,negative,0.0,neutral
223,223,happiest bday thanku bade bhaiya motiv make great content us nan,2,positive,3.0,positive
224,224,loyal guy allah apko kushiyaan naseeb farmai jan duaon yad rkhna nan,2,positive,3.0,positive
225,225,correct chatukar good meadiagovt alway bat sunta boycott hona chahiy magar,1,neutral,0.5,positive
226,226,hatya hona galat per ashraf hindu maut tweet ku,1,neutral,-4.0,negative
227,227,megha sadi liy kayo tayar veer payar karti baat,1,neutral,0.0,neutral
228,228,maa chut behen lode gand main jor 15 minut liy mil le tujh randi maa,0,negative,0.0,neutral
229,229,apko fr baar pm bann congrat hamar desh logo visva banaya apk uper visva,2,positive,0.0,neutral
230,230,jeetna earli wait epic advrtsmnt seri mauka mauka,1,neutral,3.0,positive
231,231,okkkk lovee one favourit person,2,positive,0.0,neutral
232,232,sir mai allahabad ald sirathu,1,neutral,0.0,neutral
233,233,rubika gandi bata andar matri banya bjp bayan deya sali haramkhor terei chod,0,negative,0.0,neutral
234,234,ravi shankar namaskar wais jatiyo vote parantu kayasth 1,0,negative,0.0,neutral
235,235,jini zindgi guzri jini baki sari ty lant beshumar,1,neutral,0.0,neutral
236,236,like zhoom barabar jhoom movi friend nan,0,negative,2.0,positive
237,237,wajah khatana mai jam kah polic sahi duti th,0,negative,0.0,neutral
238,238,today bday murshid may allah give great health work muslim ummah allah,2,positive,3.0,positive
239,239,12 listen bhenchod pyaara bachha im fuck happi final gf omg love ill text nan,0,negative,-1.0,negative
240,240,sir sharkar aan bad muslim safe nhi madhay pardesh 23may video aaya,1,neutral,-1.3333333333333333,negative
241,241,bjp garibo parti think everyon congress parti think self nan,2,positive,0.0,neutral
242,242,life mae aik apa brday din ais hae js muja bht intazar bcz nan,2,positive,0.0,neutral
243,243,naa bhult khuda naa unhko hume allah gift mile unko bhuln wali galiya chor aay pich,1,neutral,2.0,positive
244,244,tumhari marzi chhor twitter yehi agar facebook chhorn socht nhi,1,neutral,-2.0,negative
245,245,swami karmo fal jaroor milta chinta kare acch karm kiy dha,2,positive,-3.0,negative
246,246,bro aghar dost team possibl umer akmal nan,1,neutral,2.0,positive
247,247,bear krishna zoo bear tumara har jagah kaat keep calm start prepar 2024 good luck nan,2,positive,1.25,positive
248,248,bam happi uncl fine hamar bb pita hey aais thodi bimar rehet strong hey uncl nan,2,positive,2.0,positive
249,249,look great stay way jatayuplywoodvisva prateek plywood wood plywoodfurnitur woodwork,2,positive,3.0,positive
250,250,logo terah pakistam logo paisa chori ker harap ker baher flat mehal khareeday,0,negative,0.0,neutral
251,251,jio wajah see waat lgi padi choro profit custom paisa chura nikal rhe ghatiya,0,negative,-2.0,negative
252,252,constru sabn vote tumh naukri chinta,0,negative,-3.0,negative
253,253,haha bomb tree broad day light ask command us waqat,1,neutral,1.0,positive
254,254,one last report trip runwal pick strawberri mendozamartha right fun nan,1,neutral,4.0,positive
255,255,exclus censor report bharat world class word like movi year best perform sunney miley ev nan,2,positive,1.0,positive
256,256,say hear gautam buddha,1,neutral,0.0,neutral
257,257,sarfraz khaan hamar haqeeqi hero pakistan kay ley gar bar dos nan,2,positive,2.0,positive
258,258,aiiiii chhotu bacha love ador much mini seem distant week back,2,positive,3.0,positive
259,259,dede pyaar de super hit wht ever want bark 12th movi 100 cr club nan,2,positive,2.3333333333333335,positive
260,260,dear nakko thank best part life thank alway know love hug,2,positive,2.3333333333333335,positive
261,261,meet love life dear nan,2,positive,2.5,positive
262,262,pain yako mar jao api lar lar kuti bachi hamr dushman tu chata larn api,0,negative,-3.0,negative
263,263,desh tadi home minist banta pm,0,negative,0.0,neutral
264,264,tu laat khayeg din elect aan waala sudhar gaand,0,negative,0.0,neutral
265,265,wow dono ach lagt pls dono request shaadi lo nice coupl,2,positive,3.5,positive
266,266,welfarebydssvolunt dhan dhan satguru aasra good morn dear papa beti kaam shuru nan,2,positive,2.5,positive
267,267,rightwing itni li hae bechar gussa jayaz hae frustrat soul nan,2,positive,-3.0,negative
268,268,bc like kark chodh de nan,0,negative,2.0,positive
269,269,aaj utthey signatur karey aaj saf kurta pyjama pehna gon sick,1,neutral,-2.0,negative
270,270,bhale english thori kachi per realli proud bro sarfarazahm,2,positive,2.0,positive
271,271,warrior bangesh umair96 25 guy029 2109,1,neutral,0.0,neutral
272,272,NAME,1,neutral,0.0,neutral
273,273,becaus hind isnt indic vand mataram better though jai shri ram anoth emot,1,neutral,2.0,positive
274,274,say han ghr nae sb peh best escap point nan,2,positive,3.0,positive
275,275,arey bhau bar budget kaam lonavla direct goregaon filmciti set laga nan,2,positive,0.0,neutral
276,276,well done sabir bilkul theak kha app hamian pakistan main app kasay anker chaiya jin,1,neutral,0.0,neutral
277,277,miss youuu know see later kraaa ok miss youuuu nan,1,neutral,-2.0,negative
278,278,subhkamna narendramodi sir yuva aps ummid humar desh ujjaw,2,positive,0.0,neutral
279,279,rahul dhanay wad congr precid mehanat kiy good per,2,positive,3.0,positive
280,280,rassi jal gayi bal gayi evm jor chala patrakar kapd utaro kuch,0,negative,0.0,neutral
281,281,true yaaaar load disappoint countri turn aisi ch,0,negative,-2.0,negative
282,282,special appeal defeat bjp give anyth like hopeschem etc chutiya kam desh nan,2,positive,-1.0,negative
283,283,kaoj hmb tiy bie abdallah0 ______ disagre tunda ba money ritual z nan,1,neutral,0.0,neutral
284,284,yaar kesi demand ker rahay hou itni mushkil sey manaya larkay nashay lanay pay nan,1,neutral,-1.3333333333333333,negative
285,285,allah say night al qadar better thousand month may allah forgiv famili fulfi,2,positive,2.0,positive
286,286,maam apko ink jese logo jawab dena chay inhon humesa aurto burkh rk,0,negative,0.0,neutral
287,287,happi birthday ador remark human earth love happybirthdayjenniferwinget nan,2,positive,3.0,positive
288,288,sir rajasthan sari recruit process band kark kau berozgaro pareshan 2018,0,negative,-3.0,negative
289,289,sb kro hmare desh yuvao berojgar krke bjp postman kaam de diy sa,0,negative,0.0,neutral
290,290,ung utha unh bata du pich sarkar paap agar convinc,1,neutral,0.0,neutral
291,291,sharma1 bsdk bc hamar wali gali seekh li nan,0,negative,-5.0,negative
292,292,tumhar besharm jaanta chun tab v hume itna dukh visashyak chuna delh,1,neutral,-3.0,negative
293,293,dead apun naam aa giya akhbaar much happi uff nan,1,neutral,-3.0,negative
294,294,wish best jiii,2,positive,2.0,positive
295,295,willi love guy alway see without makeup think cute go date like boom yeah nan,2,positive,2.0,positive
296,296,jaan bojh haar wc pressur haarn matlab ga,2,positive,0.0,neutral
297,297,navjot singh sidhhu life itni achhi ja aapk commentari tarif pura desh kapil,2,positive,0.0,neutral
298,298,sharma rofl chai iaf nan,1,neutral,4.0,positive
299,299,offic prash04 deepika006 snehal,1,neutral,0.0,neutral
300,300,v mr feel nan,1,neutral,0.0,neutral
301,301,join us first final friday yoga class book use link bio love see,1,neutral,2.0,positive
302,302,menaka gandhi rahul rajneeti bachhon khel congress mukt bhart taraf badh gaadi nan,2,positive,0.0,neutral
303,303,ali bahi jawan waja sy armi jan deni dil krta kabi nai dekha eid,2,positive,0.0,neutral
304,304,tumhar baray tu jaan hr vheez haath agi love namjooni nan,2,positive,3.0,positive
305,305,ind murkh banavog janta varso public dharm karam naam murkh banat mish,0,negative,-3.0,negative
306,306,bhadw sun main vote thaa main de sach,0,negative,3.0,positive
