,ENGLISH_TRANSLATION,SCORE,SENTIMENT_LABEL
88,would bring great joy hear credit des see  got ta  . saying too nan,0.8885,positive
89,i don&#39;t think there&#39;s anything wrong with that.,-0.4767,negative
90,one one jane virgin narrate know straight telenovela right ? ? ? ? ? nan,0.4329,positive
91,bhai plz bhagwan kre bharat aachi movi ho kki dedepyard jitna,0.0772,positive
92,wish brow happy birthday man hit way together ???? thankyou give music nan,0.8105,positive
93,your testimony has proved mannat to be insane.,-0.4019,negative
94,listen first jojo siv song. ॥.। ॥.। ॥.। . no fun,-0.4023,negative
95,"sir musal is close to the world, it is a matter of fact that you have to go to your own side,",0.0258,positive
96,स्कचेतन् अदर्श अबे चुतियत्तेर,0,neutral
97,613 kung hund ko pcheche ckbatk dmko mukh ni jungkooki hund ko malal na ikvahh nan,0,neutral
98,baby may job today hope feel good wish would hotel room water to,0.8176,positive
99,is it possible to express happiness in delhi?,0.5574,positive
100,"allah was honored by whom he was praised by allah, he was honored by allah",0.8957,positive
101,ngk good one kudo hero offlnn,0.7579,positive
102,"will be able to see it only on your channel, but it can be done",0,neutral
103,ez 1403 j na pakistani ?? pig + dukkar + kutta + suvar ki miksh aulad ???????????????????????????? nun,0.5362,positive
104,"friendship with aeschylus a66 no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no",0.1779,positive
105,how can i keep my new office closed? the,0,neutral
106,hmt ak ayen ha tu dikhya gyi dgh chhru ki jisku bur laga samn saat jay lowe pak armi ??????,0.594,positive
107,happy birthday prayabbab vishwanath god health bright futur,0.8271,positive
108,god mornpit ji thanknevdy please bless save sumrin permarth baxo ji,0.8555,positive
109,office superb voice around i u ?? real mean much ? salut ouh,0.6848,positive
110,absolute right history indeed india include & secular talk new,0,neutral
111,thicccccccc d ( confirm dare 'm one wit havana . ) nan,0,neutral
112,c ongrat sirlu c knov ki shanbad di apn veert aur shaurya ki missal ab aap pesh kariyeg jai hindnan,0,neutral
113,he is,0,neutral
114,nun,0,neutral
115,"as many of the mods as possible are not on the padosio, but the only modal of bokhl gaye",0,neutral
116,bholi bhaya uffffff dff jaytiy app up lowe iamr bhai mend blow app ki hai aal hai hai,0.128,positive
117,r4i pori dunya 2019 main tum log abhi 1971 me ???????? groovup abkisi&#39;s brother-in-law does not come by himself,0,neutral
118,hh helfc anturi kri ?? for thunku bhai itnike ??,0,neutral
119,population and encroachment is a problem in the subcontinent.,-0.4019,negative
120,obc is not begging and bhenchod bhettam obc name,0,neutral
121,fijkhan pakistani girla foto vithout pakistan kar kar kar pakistani girl haiar mandi mein bint,0,neutral
122,piti canal thank very much short break place ) ) may allah protect & family,0.6249,positive
123,org let&#39;s glc in,0,neutral
124,?? c ongratul ?? unexpectedly 5 years back? क c ओन्त्र c त्? found kayapitupnote - sorri,0,neutral
125,"hussein haqqani, don&#39;t go out of your way",0,neutral
126,not like fresh hit peri day like today ??,-0.234,negative
127,don&#39;t be fooled into believing that your photo is the same as a dog.,-0.3818,negative
128,sirnead ur bless 9 ved anniversari wife sonia pranam your blessings,0.743,positive
129,c nb c ???????????? akki only spoke before c.,0,neutral
130,nksht phive yer man india chang hone wali kyoki modi sarkar bht bd bdlav krne wali hai yeh manni hmare modi sirk kehn hai nan,0,neutral
131,oops! ! ! the miracle is that there is no one who can do it,0.5386,positive
132,"randomly from the congress to the world, the kind of defeat to the people,",-0.5095,negative
133,dvn klanktheatrzfr apk hancher ctlove play apiclove story spoiler play,0.5859,positive
134,"mostly, people like you, like modi, get mjboor in this way.",0.6124,positive
135,"if you can&#39;t afford it, you can&#39;t afford it.",0,neutral
136,proud part brilliant commerce release 1996 we time great product team include nan,0.9001,positive
137,who&#39;s talking about owerr?,0,neutral
138,pago launch new show alarm-kid love enthusiasm little one saw chhotabheem dance,0.7964,positive
139,"the pakistanis are crying like this in 1992. at that time, england paid 74 paise. nun",-0.1531,negative
140,vantsee loksav &#39;sok kanhaiya ji vichar badleng desh badleg vidyarthi,0,neutral
141,"wow, you don&#39;t wear red planners too much.",0.5859,positive
142,cha ehvcheap akc uz ak &#39;sfvvapon u vanbattlvin u give,0,neutral
143,save the provenवेal slogan,0.4939,positive
144,he is also a member of the bevkooff bnny hjnt.,0,neutral
145,bemar bhikhari kut diye dubstupid movi hindi wonder peopltn,0,neutral
146,the app has never been filled with money from the new world.,0,neutral
147,"and why not a sister ?? now, with nixlipk, i came back, bye bye ???? ???????? evms c and evmnn",0,neutral
148,dhan dhan satguru ter hi asar pop ggood morne pit,0,neutral
149,manmohan singh is better than a few thousand words at a press post on the occasion.,0.4404,positive
150,one india sabk saath sabk vik sabk vishwa,0,neutral
151,ind prothom kolkat c ampagn c almedia sangbad biswa bangla etc aisob chotokhto chanel gulo dekho sudhu jai sreye ram cholch nan,0,neutral
152,rohatgi tere maa baap has taught me a lot of things.,0,neutral
153,miss raze gave him some bad old memory,-0.6249,negative
154,becoming mumtaz is threatening hindus. bengal is the only country that has lost hindus.,-0.6908,negative
155,love u much ???? absolute not insecure bc or unique or way ok u,0.8655,positive
156,"if you don&#39;t remember your father, remember that allah is your father.",0,neutral
157,thank support thank thank ! ! ! strongwitheliza samanthajayz angelmartin00 gaily,0.8772,positive
158,rath hangandk kedc ovmeat kliy pehlse bande c onvitt heh log aur jab ban hteri ma,-0.6369,negative
159,proud moment ganjam 83 student odish adarsh vidyalaya ganjam c ore 90%,0.4767,positive
160,पक्व्वि 92 वि १० वि c केत्से जेत थ अज्ज् ७ वि c केत्से जेत् ग्य वर्ल्द c उप हमर है ये वलि चव्ल कोई न,0,neutral
161,engg only will be very expensive for me.,0,neutral
162,lowe&#39;s 3000&#39;s,0,neutral
163,"dear oopr, what are you talking about? nun",0.3818,positive
164,veri ni c a tamanna tamanna ni c a like nan,0.3612,positive
165,your deputy minister is the chief minister.,0,neutral
166,"wbc ter tervidvad hai b ???? where is jyet from jed, is it burning? you are laughing from the mouth of the tabernacle",0.6322,positive
167,martyrdom is not just a matter of time and place.,-0.0191,negative
168,"it was released in the world cup in 2011. it is a short-lived event in india, england, australia and the semifinals.",0,neutral
169,pledgeagainstcorrupt good afternoon our g bless us give us power sea nan,0.6908,positive
170,नि c ए सेए ग्लोव-उपपेओप्लम्य-हेम ?? c ओंग्रत् गुय् ???? wow! ! ! bbye tire yeer! ! ! nun,0.7862,positive
171,"jiten medea has discussed for the uk, she herself did not have any good news for the british women.",-0.3412,negative
172,it is understandable that it is not daily iftar,0,neutral
173,don&#39;t go for less that your full potential.,0,neutral
174,india arjunji ???? jai punarsar bob ki jai bikan rajasthan,0,neutral
175,doc sab bahut badhiya video banay andher se muchbetter hai nan,0,neutral
176,sari shari tassali aur dilsay pai hi munhasir hoti hai varna shari kun kary koi agar pas ho kuch ?? nun,0,neutral
177,om gandhhi is the one who is interested in islam because those ahins are not there,0.4019,positive
178,wronglow soti 2 na? ? ???? nun,0,neutral
179,"it is not possible that why i am not improving in this way, but i do not think that i am going to stay",-0.1695,negative
180,toh kejriv himself was able to become the minister of toh kejriv himself.,0,neutral
181,chand make gentlni c a relat someonlife kisi k sahar ki zarort parti ha nan,0.34,positive
182,whose right is it to hold hands?,0,neutral
183,subquak ha hai apne harkaton se baazhni aayen gay kisin kis faulat jawaaj ki jawaat hai,0.34,positive
184,kshmshil dikshet karnvale pheku tum annaji ko bhodhak de diyan,0,neutral
185,but it is so bad that kut baun harmi handsom suvar singh is angry.,-0.9133,negative
186,valuetim valuelif pujya guru ji kehth is the one who is not lazy in the world.,0.2755,positive
187,bardak dhruv tyagi bare mantin bari muslim aatmakwad bol bol vivek murderer ke badtera zu,-0.6808,negative
188,"from the muslim community of india, it is the duty of the ulterior govt.",0,neutral
189,"c ongressi parthi had fecu bhakt medeya from pahela, he had chosen his heart to beat her",0.6369,positive
190,why do you want to be friends with ghod ghan?,0.5267,positive
191,real the try pay loan introduce whisper loan  make purchase by pp ha nan,0.25,positive
192,oh watch btsatwembley make miss sight really hope its oh ?????? miss everyday guy nan,0.4503,positive
193,c ome first man aerlier inc c id id ink se roti pelrah hai shame nan,-0.4767,negative
194,"neid is the subject of the branch, which can be used to provide a class of india per page, and i do not have any error.",0.3089,positive
195,you can see ravindra kirk in the media for the last 5 years.,0,neutral
196,and bk karma and twprrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrbbbbcbcrpcrpcbp,0,neutral
197,stop blaspheming in the name of these religions and teach them to your brothers.,-0.296,negative
198,khan 'm sad hear veeruji pass away pleasure & privilege work veeruji may pe nan,0.4767,positive
199,* father * son - pop today i&#39;m going to take a nap - what time is son - 10 o&#39;clock - hannan,0,neutral
200,what is the pain of mohammed people? what is your pain ?????????????? nun,-0.8205,negative
201,know 's late comment sweet wan na say really miss n,0.2748,positive
202,mp kamal nath govern said that the employees will not be able to work for the next six months.,0,neutral
203,rashid krishan was not present without allah,0,neutral
204,"the show has seemed a bit unfocused in recent episodes, but it&#39;s been a while since i&#39;ve seen this.",-0.2144,negative
205,the bullet will not move or move,0,neutral
206,i am feeling happy that i will have to give it to you again because of your body.,0.6369,positive
207,4,0,neutral
208,sapna erd untouch &amp; poverti sinlife nan,0,neutral
209,"like abu kute, this angel of the world who is awake, who is like you",0.6124,positive
210,resp ct modi gi hamar odish ki sistem ki demeto to give to the unconquered sadangi mam,0,neutral
211,when did you go to gulshan? nun,0,neutral
212,ffreatweekend popat panju nan,0,neutral
213,"mod chor has been set up and set up, and allec and c ommis have been confirmed to be 300.",0,neutral
214,sir congratul marvel victory seem one ever bother see,0.1027,positive
215,mackay sure b ombotli ck ax c tvay allah apksay se masoom ko bachay amennn,0.3182,positive
216,"first of all, call him who said that the note has been spread and you are going to hang me in the middle of nowhere ?? nun",0,neutral
217,? no ? l ê n no é em g á stay strong saliva away love ?? . alwaysstaywithlalisa,0.5544,positive
218,humsab milkar dhundh ustesrko jo muslim jake hindu bnke aggat ya hindu jake muslim bnke aur dono,0,neutral
219,"what has been done in lodo of chutiya, do not do orgasm kerna or bhosdi will be next to orgasm",0,neutral
220,ms.,0,neutral
221,hare krishna will not see modi in the parliament of 2024 and modi will not win.,-0.4717,negative
222,"why are you cosponsor for oath, sometimes without any marriage to your family?",0,neutral
223,happy blessed,0.8225,positive
224,"loyal guy allah, do not let your kushiyan be born in the same way.",0.4767,positive
225,c orre c and this is the best way to go in the city of goad,0.6369,positive
226,it is very wrong to be a killer even when ashraf ji dies of a hindu,-0.8268,negative
227,why is the cloud ready for you when you have so much to do with ware?,0.3612,positive
228,teri ma ki chut behen ke lode teri gand main man jo hai 15 minut mein le tujh teri randi ma ke,0,neutral
229,modi ji apko fr ekbar pamp bann pc ongrat hamardesh ke logo jo yeh viswa banay hai apk upar viswa ko,0,neutral
230,bhai modi ji ko jeetna hitha aarli vait apic advrtsmant seri mauk mauk,0,neutral
231,okkkk love one favourite person ??,0.6767,positive
232,only in allahabad (ald) to sirathu (,0,neutral
233,rubik gandi bata bata jo andri ko matri baniya hai bjp kya biyan ki sali haramkhor terei chod,0,neutral
234,"all the people of ravi shankara who greeted you, did not give it to you, but kayastha did 1.",0.1406,positive
235,genie life,0,neutral
236,like noom barber zoom (movie) freyndnn,0.3612,positive
237,"because of the fact that the story was called multiple times, it was not different from policing.",0,neutral
238,today day murshid may allah give great health work muslin gumma allah unna,0.6249,positive
239,12 listen venchod pyar bach imfu c happy finlfgf omglove illtextnn,0.5719,positive
240,muslims are not clean except for their sugar cane.,-0.3089,negative
241,"think about it, don&#39;t think about it, don&#39;t think about it, don&#39;t think about it, don&#39;t think about it.",0,neutral
242,there are so many types it&#39;s hard to say.,-0.1027,negative
243,"don&#39;t forget yourself, don&#39;t forget those who have received the gift of allah.",0.0258,positive
244,thy merz chhor chortaar hai ya hai f c abook hai neither do you think of chhorna.,0,neutral
245,don&#39;t worry about the results of your work,-0.4404,negative
246,"if you have been a friend for a while, then you are not old enough.",0.4939,positive
247,beer krishna zoo beerbhai has been cut from all over the place. गोओद्लु c क् ?? nun,-0.3527,negative
248,bumhappi uncliffe? hummerbbe pit ji hey ice hi thodi bimar rehet strong hey uncl ?? nun,0.5913,positive
249,lookgreat &amp; styvyatyuplyovod-wishwak,0,neutral
250,thirteen pakistam&#39;s money of you,0,neutral
251,"due to live, people have lost their voice choro now your profit is not worth the money.",-0.017,negative
252,c onstru tum sabn modi ko vote kyu diya. ?? you don&#39;t have to worry about my job,-0.504,negative
253,hata bomb tree broad day light ask command to us what,-0.4939,negative
254,one last report trip rural pick strawberry ( @ mendozamartha right  fun ! ) b nan,0.5562,positive
255,excuse censor report hart world class word like move year best perform sunny to miles ev nan,0.7783,positive
256,sage here is gautam buddha,0,neutral
257,surfers are one of our favorite heroes.,0.743,positive
258,aiiiii mere chhotu bache ???? love ardor much mind ?? seem distant week back,0.7319,positive
259,deed year de super hit who ever want bark with move 100 or club nan,0.6369,positive
260,dear naked thank best part life thank away know love hug,0.959,positive
261,n meet love life dear nan,0.7783,positive
262,"why don&#39;t you kill the enemy of the dog, why don&#39;t you kill the enemy of the dog?",-0.9545,negative
263,"in this country, there is also a home ministry and an exp",0,neutral
264,you too will be kicked out one day.,0,neutral
265,"wow, both of you are very nice, plus you both have a request to get married.",0.7841,positive
266,welfrebydsswolunt dhandhan satguru ter hi asra,0,neutral
267,that rigthwing reported that the angry anger of the frustrat sole ?????? nun,-0.8385,negative
268,blike does not cure cancer,0.5448,positive
269,modi zi aj utthai modi zi signatures modi zi aaj safkurt ki pyzum pehon gon bsi c k,0,neutral
270,bhale teri anglish thori kchi hai per realli prod bro surferzham ??,0,neutral
271,warrior bangesh umair 96 25 guy 0292109,0,neutral
272,#NAME?,0,neutral
273,because hind isn india and mataram better though jaw she ram not mot,0.4404,positive
274,hundreds of new home sbko peh ?? not the best point,-0.5759,negative
275,"hey, isn&#39;t this a work of art ?? are the goregone films from loneville so mainstream ?? nun",0,neutral
276,"well done, everything is good, but the opposite app is always in the heart of the world.",0.8519,positive
277,miss you ?? knov see later kraa ok missyouu ?? nun,0.3736,positive
278,very very good @ narendra modi sir humayun hopes that his country will shine,0.7408,positive
279,"thank you very much, thank you very much for your hard work.",0.5965,positive
280,"how to get rid of ropes, not moving and not moving",0,neutral
281,true bazaar load disappoint country turn ?? ye his ch,0.1179,positive
282,what is the best way to deal with this? nun,0.6369,positive
283,कओझ हम्ब्तिय् बीए अब्दल्लह् ० ______ दिसग्रे तुन्द ब मोनेय्रितुअल्झ् नन्,0,neutral
284,it&#39;s hard to believe that this is the case with larkay.,-0.1027,negative
285,allah say night al madam better thousand month may allah forgive family fulfil,0.6124,positive
286,"i do not give a message to people like me, because they have blamed the humes and the autos.",-0.1531,negative
287,happy birthday ardor remark human earth love happybirthdayjenniferwinget nan,0.836,positive
288,"only rajasthan, sir, rupees procss, who are working for the barozgaro, 2014",0,neutral
289,this post has given this post to the youth of our country.,0,neutral
290,"the words that remain unchanged, these sins have not been received by the father of the latter.",-0.4588,negative
291,shameless self-promotion for ballistic products and a great bargain on a neat little knife for you.,0.7579,positive
292,"when you chose besharam like jabash janat, i am so sad that i was sad",-0.6799,negative
293,dead apunka naam aa giya akhbar mein muchhappi uffnan,-0.6486,negative
294,wish best iii,0.7845,positive
295,will love guy away see without make think cut go date like boom yeah nan,0.8662,positive
296,"don&#39;t be discouraged, harvard doesn&#39;t have its own pressures.",-0.6124,negative
297,"navjot singh sidhu, your life was so good.",0.5777,positive
298,shame on you,-0.4767,negative
299,ofc question 04 deepic 004 snehal,0,neutral
300,v mr ???? feel nan,0,neutral
301,join us first final friday you class book use link big love see,0.7506,positive
302,manek gandhi rahul - rajneeti is not playing as a child.,-0.1511,negative
303,ali bahi jessi hi javan ki vaj syarmi par jandeni ko dilkrat ha k kabhi nai aid jo,0.34,positive
304,shall i say that my best friend is in front of me ?? lowe namjoon-i nan,0.8504,positive
305,how many idiots have been fooling the public in the name of religion for years?,-0.4019,negative
306,orhan bhadvyeh sun manvote nahi diya mande hi nahi sakt par sach,0,neutral
307,muslim tustikarad hindu hindu antagonism,-0.4404,negative
308,fake nevs c ozryf so bad gilt ni krg shahrukhkhan ko ab aation psnnd nhi krgi audi,-0.822,negative
309,apologo bettec tate 201118 of the people,0,neutral
310,tyagi happi birthya aditi tayagi jee bhagwan se kya khut ko chunnel khannel khul jai and pur dhi,0,neutral
311,the circle has no one,-0.296,negative
312,bup ki 26 wayen aap sabko mubarak ho humari mubbabat bap se aur barh jati hai jhum murre a kamil nigran a show,0,neutral
313,chub is dogged that avlad is not your father,0,neutral
314,- it&#39;s okay to look at someone with love - hang - then i want to be loved 14 years ago,0.8834,positive
315,"rati is not a good reason to be a bad person, it is a good enemy.",-0.7584,negative
316,don&#39;t miss out on the latest updates,-0.1531,negative
317,junk esthetti rhenga bharat agha nahi bhaka shakta salqaasta,0,neutral
318,killer sunoo n&#39;knov weather &#39;s orrectnevswrong pubgtou mein nai finalsai kafi pehly chor di thi nan,-0.6486,negative
319,mani thankkind vishallu ji nan,0,neutral
320,owaisi sahabmil&#39;s modi ji should try to issue this to you,0,neutral
321,beast usk peroson problem h 20 play &amp; 50 play differ h ag vv performance no credit,-0.0217,negative
322,pick weekend anthony smith vodka oezdimir mimi manual chris fishgold hair azov sung bin to berg,0,neutral
323,a new post will be sent to all the members of the party.,0.4019,positive
324,"it is only maryam who is alive from the moon, who is happy",0.743,positive
325,most of them do not have pm-2 termsir ja,0,neutral
326,music life ... ? thank choose used ( salmon ali ) post instagram story today ! ! ! ??,0.6015,positive
327,amethi bjpk akpil mar bjpknet aur kutti media esco aisdhik rahi thi jais koi cm &amp; pmmer gay hol,0,neutral
328,allah dont worri ramdant time hamari dua allah qubul karthi hoon main dua karti hoon appki nan,0,neutral
329,ran very nice and kill sherlock hard boss contrat nan,-0.5058,negative
330,ashamed that you are proud to be such that it does not suit any other film / girl and,0,neutral
331,"ricardo&#39;s wife, philip mario",0,neutral
332,orgye dadoo charger ko koi ye batay ke jo bandh chay ke sath biscit nahi det,0,neutral
333,still far better mrs got u r connect number economic u share,0.6597,positive
334,"gaddafi logs are strange, they don&#39;t care, they don&#39;t help, they don&#39;t care that they are the birthplace of abdul mehboob c onsres.",0.8074,positive
335,how much do you love me ?????? nazar new die oye ab ????,0.3094,positive
336,didn&#39;t get hurt so much.,-0.5267,negative
337,axin ntf ekhi toh dil hai asitbhai kitni bar jitog! ? nun,0,neutral
338,amen great job thank beaten good,0.7717,positive
339,"if you remember youtube, you will never win.",-0.4717,negative
340,hi brook store usual substitute line main thing sell,0,neutral
341,hi dear india india such nice person appreci avert body wo,0.5719,positive
342,understand what is done by you,0,neutral
343,receive time power women award category bureaucracy with may devil award colleague ar nan,0.3818,positive
344,"however, there is no such thing as anti-hinduism",-0.296,negative
345,int&#39;l goal achiev curl ismi hi bharat ki nai kuchh par ho jayegi,0,neutral
346,insan insan insan 1 ???? happy birthday ???? insan 1 ?????? sister ji ???????? pop ji is not yours,0.6868,positive
347,hood good pleas tell in fan inured nan,0.6369,positive
348,नि c ए c ओंग्रतुल्ममदेश your keep fire ?? nun,-0.4137,negative
349,like egg hate banana nan,-0.296,negative
350,attend godi media 5 saltak gaye gobar hindu muslim 3 talak etc pe dabat ker ker desh kiya bhal ki,0,neutral
351,total understand usual pretty done sonya well know,0.6771,positive
352,the spokespersons of the congress and the sp are no longer interested in politics.,-0.5358,negative
353,there are many types of people who are married,0,neutral
354,love continue inspire people away remember away f,0.836,positive
355,khud sharad chitfund ki ghotal ki pramukh vaiti hain duaro ko daket bolti hain khud,0,neutral
356,the issue of the muslims is the quagmire of the muslims.,0,neutral
357,underestim power ballpoint pen matter chair wall street time great level hot nan,0.6369,positive
358,"it&#39;s not that i don&#39;t love you, it&#39;s that i don&#39;t love you, it&#39;s that i don&#39;t love you.",0.9274,positive
359,ram temple has not been built for 20 years.,0,neutral
360,लव्येर् तुतोर् सगय अ c तुअल अस्क्रेफुन्द तुतिओन् फेए उनन्,0,neutral
361,mitli ji haramkhor laden nahi chah tha isco was thrown,0,neutral
362,"hello god, what a wonderful way to screw people over.",0.6597,positive
363,ca n't wait happyacadem workshop still time resist went friday hours,0,neutral
364,mt china up twistooo rubber like ?? god health nan,0.6072,positive
365,modi ki jeet jashan manan allah khud aaye threatr unonhn,0,neutral
366,tel kya&#39;s mother abhoo aapna suit ki sija kya ayya kanjar gave me a letter of my father&#39;s name,0,neutral
367,modi sir ligt sinc 1020 pmtilak nagar (west delhi),0,neutral
368,thank chopra1 hope remove well best wish,0.9246,positive
369,ind,0,neutral
370,ala ghodi is not a victim of dharmap bahi;,0.2057,positive
371,"in the winter of india, narendra ram zi is very much better than all the recruiters.",0.4902,positive
372,brother bjp went to all the others and said that blood busses,0,neutral
373,"if you have any questions, please feel free to contact us.",0.6808,positive
374,"as long as the bjp doesn&#39;t show up, no one will see how much you and your subconscious will burn.",-0.296,negative
375,"ahmad ab modi jihadi likhe u mujhe tuqh tum, you are not devoting abm modi support ji",0.0377,positive
376,arushi shine glove bnne v. kamin,0,neutral
